Timestamp,Accel_X_g,Accel_Y_g,Accel_Z_g,Gyro_X_deg_per_s,Gyro_Y_deg_per_s,Gyro_Z_deg_per_s
0,-20.202273608398436,-16.244658264160154,-19.621679705810546,50.80916030534351,-74.27480916030534,156.33587786259542
1,-19.282900170898436,-18.389862951660156,-17.476475018310545,27.358778625954198,-74.27480916030534,160.24427480916032
2,-24.493880084228515,-20.228609826660154,-17.170017205810545,7.816793893129771,-62.54961832061068,168.06106870229007
3,-24.493880084228515,-21.147983264160153,-15.944185955810546,27.358778625954198,-66.45801526717557,160.24427480916032
4,-25.413253521728514,-23.906103576660154,-20.847510955810545,42.99236641221374,-93.81679389312977,136.793893129771
5,-20.815189233398435,-19.922152014160154,-16.863559393310545,50.80916030534351,-105.54198473282443,132.8854961832061
6,-22.655133209228513,-14.712369201660156,-17.170017205810545,42.99236641221374,-101.63358778625954,140.70229007633588
7,-22.042217584228514,-14.712369201660156,-18.089390643310544,62.534351145038165,-101.63358778625954,136.793893129771
8,-22.655133209228513,-18.083405139160156,-20.541053143310545,19.541984732824428,-93.81679389312977,160.24427480916032
9,-23.574506646728516,-20.535067639160154,-22.992715643310547,11.725190839694656,-97.72519083969466,171.96946564885496
10,-24.800337896728514,-19.922152014160154,-18.702306268310547,39.083969465648856,-86.0,156.33587786259542
11,-24.493880084228515,-16.551116076660154,-16.250643768310546,54.717557251908396,-89.90839694656489,144.61068702290078
12,-22.042217584228514,-14.099453576660155,-14.718354705810546,46.900763358778626,-105.54198473282443,132.8854961832061
13,-18.669984545898437,-15.631742639160155,-17.170017205810545,31.267175572519083,-101.63358778625954,140.70229007633588
14,-16.831237670898435,-17.164031701660154,-18.702306268310547,19.541984732824428,-82.09160305343511,156.33587786259542
15,-22.961591021728513,-19.309236389160155,-19.621679705810546,7.816793893129771,-62.54961832061068,175.87786259541986
16,-25.413253521728514,-20.228609826660154,-19.315221893310547,31.267175572519083,-58.6412213740458,175.87786259541986
17,-28.171373834228515,-24.519019201660154,-18.089390643310544,42.99236641221374,-78.18320610687023,156.33587786259542
18,-26.026169146728513,-22.680272326660155,-18.395848455810548,27.358778625954198,-86.0,136.793893129771
19,-21.429301959228514,-17.776947326660157,-17.782932830810545,31.267175572519083,-97.72519083969466,125.06870229007633
20,-20.815189233398435,-14.405911389160156,-18.089390643310544,15.633587786259541,-82.09160305343511,144.61068702290078
21,-22.961591021728513,-18.696320764160156,-15.944185955810546,27.358778625954198,-62.54961832061068,187.6030534351145
22,-24.493880084228515,-23.906103576660154,-22.379800018310547,0.0,-82.09160305343511,160.24427480916032
