timestamp,x,y
1741651697.0048933,0,0,True
1741651697.0396743,0,0,True
1741651697.074971,0,0,True
1741651697.1098068,0,0,True
1741651697.145109,0,0,True
1741651697.179923,0,0,True
1741651697.2147894,0,0,True
1741651697.2495716,0,0,True
1741651697.2838702,0,0,True
1741651697.3187928,0,0,True
1741651697.3535643,0,0,True
1741651697.3879662,0,0,True
1741651697.4228115,0,0,True
1741651697.4576192,0,0,True
1741651697.4920928,0,0,True
1741651697.5268977,0,0,True
1741651697.5616684,0,0,True
1741651697.5961423,0,0,True
1741651697.6309137,0,0,True
1741651697.6657157,0,0,True
1741651697.7006373,0,0,True
1741651697.7349677,0,0,True
1741651697.7697372,0,0,True
1741651697.8051453,0,0,True
1741651697.8399854,0,0,True
1741651697.8747845,0,0,True
1741651697.9096565,0,0,True
1741651697.9439518,0,0,True
1741651697.9787576,0,0,True
1741651698.013651,0,0,True
1741651698.047974,0,0,True
1741651698.0827444,0,0,True
1741651698.1176739,0,0,True
1741651698.1519692,0,0,True
1741651698.1867735,0,0,True
1741651698.2216232,0,0,True
1741651698.2559574,0,0,True
1741651698.2903886,0,0,True
1741651698.3247213,0,0,True
1741651698.35903,0,0,True
1741651698.3934562,0,0,True
1741651698.4277856,0,0,True
1741651698.4625585,0,0,True
1741651698.4970667,0,0,True
1741651698.5318425,0,0,True
1741651698.5666463,0,0,True
1741651698.6010358,0,0,True
1741651698.6358857,0,0,True
1741651698.6706574,0,0,True
1741651698.7050836,0,0,True
1741651698.7398622,0,0,True
1741651698.7751622,0,0,True
1741651698.8100412,0,0,True
1741651698.844882,0,0,True
1741651698.879663,0,0,True
1741651698.915023,0,0,True
1741651698.9497995,0,0,True
1741651698.985097,0,0,True
1741651699.0199423,0,0,True
1741651699.0547428,0,0,True
1741651699.089047,0,0,True
1741651699.1238918,0,0,True
1741651699.1586947,0,0,True
1741651699.1935573,0,0,True
1741651699.2278829,0,0,True
1741651699.262661,0,0,True
1741651699.297551,0,0,True
1741651699.3318453,0,0,True
1741651699.3667002,0,0,True
1741651699.4010324,0,0,True
1741651699.4358366,0,0,True
1741651699.470266,0,0,True
1741651699.5051317,0,0,True
1741651699.5399148,0,0,True
1741651699.5747173,0,0,True
1741651699.609101,0,0,True
1741651699.643869,2159,646,False
1741651699.6782432,2159,646,False
1741651699.712578,2036,647,False
1741651699.746904,1867,193,False
1741651699.781236,1867,193,False
1741651699.8161285,1784,72,False
1741651699.8508947,1746,0,False
1741651699.8857577,1724,0,False
1741651699.9200869,1667,17,False
1741651699.9548876,1841,91,False
1741651699.9897275,1816,89,False
1741651700.0250714,1792,59,False
1741651700.059849,1768,21,False
1741651700.094794,1756,0,False
1741651700.1290953,1753,0,False
1741651700.1638753,1753,0,False
1741651700.1987996,1761,0,False
1741651700.233579,1757,0,False
1741651700.2679245,1761,0,False
1741651700.3028185,1763,0,False
1741651700.3371515,1764,0,False
1741651700.3714824,1770,0,False
1741651700.4059212,1772,0,False
1741651700.440694,1774,0,False
1741651700.4750652,1779,0,False
1741651700.5099287,1764,100,False
1741651700.5448022,1737,265,False
1741651700.5791812,1698,370,False
1741651700.6140015,1689,436,False
1741651700.6488101,1678,467,False
1741651700.6831605,1682,417,False
1741651700.7180276,1684,385,False
1741651700.7528028,1682,356,False
1741651700.787185,1675,292,False
1741651700.8220475,1664,225,False
1741651700.856854,1654,142,False
1741651700.891705,1674,95,False
1741651700.9260874,1717,61,False
1741651700.9608624,1749,43,False
1741651700.9957438,1769,39,False
1741651701.0300841,1770,44,False
1741651701.0648887,1759,64,False
1741651701.0993245,1747,85,False
1741651701.133599,1719,126,False
1741651701.1679316,1656,216,False
1741651701.2023642,1557,337,False
1741651701.2367,1468,417,False
1741651701.270994,1468,417,False
1741651701.3059561,1372,493,False
1741651701.340732,1331,508,False
1741651701.3750818,1310,543,False
1741651701.4099905,1295,533,False
1741651701.4447837,1264,530,False
1741651701.4791703,1259,528,False
1741651701.5140243,1244,533,False
1741651701.5488272,1225,538,False
1741651701.583165,1215,539,False
1741651701.6180234,1203,542,False
1741651701.6527996,1192,539,False
1741651701.6871579,1207,542,False
1741651701.721997,1852,407,False
1741651701.7569923,1864,414,False
1741651701.791821,1868,432,False
1741651701.8267443,1878,436,False
1741651701.8610423,1894,443,False
1741651701.8958762,1907,454,False
1741651701.9307039,1901,462,False
1741651701.9650269,1903,467,False
1741651701.9998312,1913,468,False
1741651702.0352135,1934,468,False
1741651702.070002,1925,461,False
1741651702.1049151,1911,412,False
1741651702.1396954,1896,357,False
1741651702.1739926,1880,292,False
